"CODUSU";"TRIM";"ANO4";"AGLOMERADO";"NRO_HOGAR";"PROVINCIA";"ITF";"IPCF";"REALIZADA";"PONDIH";"II1";"II2";"II3";"II3_1";"II4_1";"II4_2";"II4_3";"II5";"II5_1";"II6";"II6_1";"II7";"II7_ESP";"II8";"II8_ESP";"II9";"V1";"V2";"V21";"V22";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19_A";"V19_B";"IX_TOT";"IX_MEN10";"IX_MAYEQ10";"IV1";"IV1_ESP";"IV2";"IV3";"IV3_ESP";"IV4";"IV5";"IV6";"IV7";"IV7_ESP";"IV8";"IV9";"IV10";"IV11";"IV12_1";"IV12_2";"IV12_3";"VII1_1";"VII1_2";"VII2_1";"VII2_2";"VII2_3";"VII2_4";"PONDERA"
"TQSMNORSWHMMKQCDEHPJB00811589";3;2023;29;1;90;346000;115333,33;1;509;2;2;2;0;1;1;1;2;0;2;0;2;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;1;2;2;"";2;2;"";4;2;1;1;"";1;1;1;2;2;2;2;2;0;1;0;0;0;457
"TQRMNOPRVHMMKQCDEHPJB00811660";3;2023;29;1;90;570000;190000;1;547;3;3;2;0;1;1;1;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;3;0;3;1;"";3;1;"";2;1;1;1;"";1;1;1;1;1;2;2;2;1;98;0;0;0;418
"TQRMNORSVHMMKQCDEHPJB00811588";3;2023;29;1;90;480000;80000;1;593;3;3;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;6;0;6;1;"";3;1;"";4;1;1;1;"";1;1;1;1;1;2;2;2;0;98;0;0;0;450
"TQRMNOSYPHMMKQCDEHPJB00811566";3;2023;29;1;90;220000;73333,33;1;521;3;2;2;0;1;1;1;2;0;2;0;2;"";2;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;3;0;3;1;"";3;1;"";4;1;1;1;"";1;1;1;1;2;2;2;3;0;98;0;0;0;418
"TQRMNORSWHMMKQCDEHPJB00811512";3;2023;29;1;90;450000;90000;1;473;4;3;1;1;1;1;1;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;0;5;2;"";4;1;"";4;1;1;1;"";1;1;1;1;2;2;2;5;0;98;0;0;0;375
"TQRMNORSXHMMKQCDEHPJB00811499";3;2023;29;1;90;260000;130000;1;460;2;2;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1;"";2;1;"";4;1;1;1;"";1;1;1;1;1;2;2;1;0;2;0;0;0;390
"TQRMNOQUUHKLKMCDEHPJB00790880";3;2023;29;2;90;780000;156000;1;511;3;2;2;0;1;1;2;2;0;2;0;6;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2;5;1;4;2;"";3;1;"";4;1;1;1;"";1;1;1;1;2;2;2;1;0;2;0;0;0;446
"TQRMNOQUWHKLKMCDEHPJB00790888";3;2023;29;1;90;500000;166666,67;1;459;3;2;2;0;1;1;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;2;"";3;1;"";9;1;1;1;"";1;1;1;1;2;2;2;2;0;98;0;0;0;375
"TQRMNOSSXHKLKMCDEHPJB00790893";3;2023;29;1;90;178000;59333,33;1;547;3;2;2;0;1;1;2;2;0;2;0;1;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;2;"";3;1;"";2;1;1;1;"";1;1;1;1;2;2;2;2;0;1;0;0;0;470
"TQRMNOQUSHKLKMCDEHPJB00790904";3;2023;29;1;90;280000;93333,33;1;561;3;2;2;0;1;1;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;3;1;2;2;"";3;1;"";4;1;1;1;"";1;1;1;2;2;2;2;2;0;1;0;0;0;439
